name,extension,content_type,expected_bytes,actual_bytes,size_ok,expected_sha256,actual_sha256,sha256_ok,url
analysis_support.zip,.zip,application/zip,216377,216377,True,aac5eae1326ca5a4c395cffc58f33940fc8024f5b6cba8c133fc495202d0a3b2,aac5eae1326ca5a4c395cffc58f33940fc8024f5b6cba8c133fc495202d0a3b2,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/analysis_support.zip
artifact.json,.json,application/json,211678,211678,True,b6668eafa2bb1bdfabca8c096a7c42826681fb36f37cbc2cdf9acc74c5088b8e,b6668eafa2bb1bdfabca8c096a7c42826681fb36f37cbc2cdf9acc74c5088b8e,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/artifact.json
BuggedCity_spotA.png,.png,image/png,436225,436225,True,3cabc098d15a8890a5784f07031ce004e8c63939c64930a57b657faf9e66a4cf,3cabc098d15a8890a5784f07031ce004e8c63939c64930a57b657faf9e66a4cf,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotA.png
BuggedCity_spotA.rdc,.rdc,application/octet-stream,391967253,391967253,True,e01096640b66ea3e7ce1d32e2e034516570e23cb75a65c3106dc42c52984ab65,e01096640b66ea3e7ce1d32e2e034516570e23cb75a65c3106dc42c52984ab65,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotA.rdc
BuggedCity_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,80,80,True,a8b671c13152ef35c24684bff7799891f9586846ab65b87504a9a2ae174b3571,a8b671c13152ef35c24684bff7799891f9586846ab65b87504a9a2ae174b3571,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotA_gpustages.txt
BuggedCity_spotA_insights.png,.png,image/png,5301382,5301382,True,56c800df1e4912e76aa4ec9c021d52864174b1b4424bcbd7d2bdfc0af2811bcc,56c800df1e4912e76aa4ec9c021d52864174b1b4424bcbd7d2bdfc0af2811bcc,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotA_insights.png
BuggedCity_spotB.png,.png,image/png,2020103,2020103,True,0d3e5cae354f166e6272179e93c1303b8eca703e5f4004bc7470e61f40d41283,0d3e5cae354f166e6272179e93c1303b8eca703e5f4004bc7470e61f40d41283,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotB.png
BuggedCity_spotB.rdc,.rdc,application/octet-stream,406438173,406438173,True,7c6810a34bf4be54a01f8f32891db03c0c3068d55833390639c88ac6f71c7fcb,7c6810a34bf4be54a01f8f32891db03c0c3068d55833390639c88ac6f71c7fcb,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotB.rdc
BuggedCity_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,80,80,True,a8b671c13152ef35c24684bff7799891f9586846ab65b87504a9a2ae174b3571,a8b671c13152ef35c24684bff7799891f9586846ab65b87504a9a2ae174b3571,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotB_gpustages.txt
BuggedCity_spotB_insights.png,.png,image/png,8789310,8789310,True,a50f586c580ff71a750480cc42bc5159255f82286fdf3e1e6f00fc53fee58820,a50f586c580ff71a750480cc42bc5159255f82286fdf3e1e6f00fc53fee58820,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/BuggedCity_spotB_insights.png
Canyon_spotA.png,.png,image/png,1246279,1246279,True,fbb33f3377ea266ced657b98391381da6584779a86c492a597b4026a08b12056,fbb33f3377ea266ced657b98391381da6584779a86c492a597b4026a08b12056,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Canyon_spotA.png
Canyon_spotA.rdc,.rdc,application/octet-stream,277125265,277125265,True,8b491cc2eaf6a39ad9b0b729269778818b1ef55f38060f060634246f412664c0,8b491cc2eaf6a39ad9b0b729269778818b1ef55f38060f060634246f412664c0,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Canyon_spotA.rdc
Canyon_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,445765,445765,True,99b612e4feb4c45619923fbd93f2062ded0571a5c7773563a9f59ae5e4a7dec0,99b612e4feb4c45619923fbd93f2062ded0571a5c7773563a9f59ae5e4a7dec0,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Canyon_spotA_gpustages.txt
Canyon_spotA_insights.png,.png,image/png,6091137,6091137,True,6a88b94ae7e81fbfcf06b77660e0c8a30d90b1e0be20a74f4e639589243e6e87,6a88b94ae7e81fbfcf06b77660e0c8a30d90b1e0be20a74f4e639589243e6e87,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Canyon_spotA_insights.png
