level,fps_avg,fps_min,gpu_avg_ms,gpu_max_ms,gt_avg_ms,active_gt_ms,gt_p99_ms,gt_worst_ms,budget_miss_pct,kills,teleports,trace_mb_reported
City,63.4,31.0,7.09,22.4,18.74,15.19,29.6,291.5,92.8,30.0,0.0,387.0
Energy_Electrical,65.1,40.0,6.81,19.9,17.53,14.1,27.6,237.4,88.2,42.0,0.0,403.0
Mines,69.1,1.0,6.96,92.7,16.88,13.29,33.9,252.3,72.7,68.0,0.0,255.0
Moon,61.4,42.0,8.98,14.7,16.52,13.06,24.5,241.7,83.5,10.0,0.0,450.0
Nasa,62.3,47.0,9.04,13.4,16.19,12.43,23.5,262.4,82.6,0.0,32.0,427.0
BuggedCity,63.2,42.0,10.51,14.7,15.99,12.34,23.8,289.5,85.0,4.0,0.0,416.0
Fields,67.0,38.0,9.62,17.4,15.55,11.5,27.1,10481.5,60.6,112.0,20.0,382.0
Oasis,68.3,46.0,8.74,13.0,14.81,11.49,24.1,232.2,61.8,0.0,0.0,391.0
Purification_Water_1,66.2,46.0,8.9,15.4,15.21,11.07,24.2,257.6,64.6,19.0,0.0,421.0
Road_1,70.0,55.0,8.44,11.1,14.36,10.14,23.8,268.2,53.0,0.0,0.0,405.0
Purification_Water_0,69.3,1.0,8.1,93.2,14.37,9.21,24.4,68.1,53.1,48.0,0.0,160.0
Canyon,71.7,51.0,8.1,13.4,14.03,8.07,19.3,230.7,49.6,24.0,0.0,368.0
