level,bucketed_frame_points,vrapi_points,vrapi_duplicate_timestamps,vrapi_sf_values,vrapi_all_rows_fps_mean,vrapi_all_rows_gpu_ms_mean,vrapi_sf_0_98_points,vrapi_sf_0_98_fps_mean,vrapi_sf_0_98_gpu_ms_mean,vrapi_sf_1_00_points,vrapi_sf_1_00_fps_mean,vrapi_sf_1_00_gpu_ms_mean,event_points,event_exact_duplicate_rows,kill_event_points,kill_event_unique_signatures,exact_spike_points,series_end_s
BuggedCity,1800,332,0,0.98,63.23,10.51,332,63.23,10.51,0,,,32,0,4,4,60,333.433
Canyon,1800,332,0,0.98,71.67,8.1,332,71.67,8.1,0,,,195,122,24,24,60,329.072
City,1800,662,331,0.98;1.0,63.45,7.09,336,54.65,12.03,326,72.51,2.01,121,35,30,30,60,332.269
Energy_Electrical,1800,658,329,0.89;0.91;0.98;1.0,65.07,6.81,329,57.63,11.62,327,72.52,2.0,170,80,42,42,60,326.063
Fields,1800,320,3,0.0;0.3;0.98,66.96,9.62,317,67.01,9.64,0,,,298,182,112,56,60,327.336
Mines,1800,354,111,0.0;0.98;1.0,69.1,6.96,227,66.8,9.63,125,74.36,2.22,247,159,68,42,60,64.434
Moon,1800,333,0,0.98,61.38,8.98,333,61.38,8.98,0,,,268,201,10,10,60,330.523
Nasa,1800,331,0,0.98,62.28,9.04,331,62.28,9.04,0,,,15,3,0,0,60,327.957
Oasis,1800,329,0,0.98,68.3,8.74,329,68.3,8.74,0,,,385,341,0,0,60,327.469
Purification_Water_0,1800,335,4,0.0;0.98;1.0,69.33,8.1,317,68.51,8.4,17,88.65,3.06,100,50,48,24,60,137.882
Purification_Water_1,1800,333,0,0.98,66.24,8.9,333,66.24,8.9,0,,,49,9,19,19,60,334.062
Road_1,1800,329,0,0.98,70.04,8.44,329,70.04,8.44,0,,,28,14,0,0,60,332.411
