level,thread_group,timer,avg_ms_per_call,inclusive_ms_per_frame,median_ms_per_call,max_ms_per_call,calls_per_frame
BuggedCity,GameThread,FEngineLoop::Tick (total frame),15.99,15.99,15.42,289.5,1.0
BuggedCity,GameThread,WaitFrame (pacing),3.64,3.64,3.38,82.3,1.0
BuggedCity,GameThread,UWorld tick,8.86,8.86,9.11,88.4,1.0
BuggedCity,GameThread,Component ticks,0.03,4.3,0.0,22.7,142.1
BuggedCity,GameThread,Skinned mesh (animation),0.06,0.86,0.0,9.1,14.4
BuggedCity,GameThread,Blueprint ReceiveTick,0.01,0.72,0.0,2.4,49.3
BuggedCity,GameThread,Widget updates,,,,,
BuggedCity,GameThread,Slate prepass,,,,,
BuggedCity,RenderThread,InitViews (visibility),0.52,2.9,0.0,25.3,5.6
BuggedCity,RenderThread,Primitive scene infos,0.7,2.1,0.01,18.4,3.0
BuggedCity,RenderThread,MobileBasePass,0.9,1.81,0.59,56.1,2.0
BuggedCity,RenderThread,Slate render,0.04,1.0,0.0,5.7,22.0
BuggedCity,RenderThread,RenderFinish,0.06,0.18,0.06,5.7,3.0
BuggedCity,RenderThread,BeginFrame,0.11,0.11,0.03,18.0,1.0
Canyon,GameThread,FEngineLoop::Tick (total frame),14.03,14.03,14.15,230.7,1.0
Canyon,GameThread,WaitFrame (pacing),5.96,5.96,6.48,37.4,1.0
Canyon,GameThread,UWorld tick,5.22,5.22,4.97,58.0,1.0
Canyon,GameThread,Component ticks,0.03,2.46,0.0,9.2,77.0
Canyon,GameThread,Skinned mesh (animation),0.05,0.44,0.0,5.4,8.8
Canyon,GameThread,Blueprint ReceiveTick,0.02,0.71,0.0,2.0,38.6
Canyon,GameThread,Widget updates,,,,,
Canyon,GameThread,Slate prepass,,,,,
Canyon,RenderThread,InitViews (visibility),0.32,1.94,0.0,7.8,6.0
Canyon,RenderThread,Primitive scene infos,0.42,1.26,0.01,46.4,3.0
Canyon,RenderThread,MobileBasePass,0.41,0.83,0.35,5.6,2.0
Canyon,RenderThread,Slate render,0.04,0.84,0.05,4.5,22.9
Canyon,RenderThread,RenderFinish,0.03,0.1,0.04,1.7,3.0
Canyon,RenderThread,BeginFrame,0.08,0.08,0.03,11.4,1.0
City,GameThread,FEngineLoop::Tick (total frame),18.74,18.74,17.34,291.5,1.0
City,GameThread,WaitFrame (pacing),3.54,3.54,3.46,84.1,1.0
City,GameThread,UWorld tick,10.44,10.44,10.79,186.6,1.0
