level,max_process_spot,max_process_top20_thread_names_pct,process_spot_game_thread_pct,process_spot_render_thread_pct,process_spot_rhi_thread_pct,process_spot_active_gt_ms,max_active_gt_spot,max_active_gt_ms,active_spot_fps,active_spot_gpu_ms
City,B,157.1,37.2,37.0,41.6,5.67,B,5.67,72.2,10.7
Purification_Water_0,A,155.7,35.7,34.3,42.8,5.363,A,5.363,72.0,11.62
Purification_Water_1,A,150.3,32.5,34.8,43.8,5.215,A,5.215,67.8,12.61
Mines,B,150.1,35.0,34.4,43.6,5.109,A,5.288,71.3,6.86
Moon,B,149.6,35.7,36.0,41.4,5.166,B,5.166,72.6,9.88
Nasa,B,149.5,33.9,37.0,42.0,5.137,B,5.137,72.5,10.15
Energy_Electrical,B,144.2,34.5,34.5,40.9,5.22,B,5.22,71.8,9.09
Canyon,B,143.1,34.2,32.9,40.4,5.101,B,5.101,72.5,9.82
Road_1,B,141.9,34.1,31.9,38.9,5.361,B,5.361,72.5,10.5
BuggedCity,B,140.7,28.8,31.9,41.0,5.385,B,5.385,59.4,14.82
Fields,A,136.8,28.9,31.7,39.6,5.29,A,5.29,58.6,14.57
Oasis,B,131.4,33.6,31.1,33.0,5.093,B,5.093,71.8,10.0
