level,spot,map,seed,position,yaw,trace_window,fps_avg,fps_min,app_gpu_ms_avg,app_gpu_ms_max,vrapi_cpu_util,perfetto_span_ms,process_top20_thread_names_pct,game_thread_core_pct,render_thread_core_pct,rhi_thread_core_pct,foreground_worker_pct,engine_tick_ms,openxr_wait_ms,active_gt_ms,world_tick_ms,component_tick_ms,component_calls_per_frame,receive_tick_ms,skinned_mesh_tick_ms,eye_gpu_ms,eye_binning_ms,eye_render_ms,drawcalls,submitted_indices,texture_bytes,buffer_bytes
Canyon,A,LevelGenerator,123456,"3907,1806,685",-157.6,21:43:24-21:43:39,72.7,72,9.47,9.51,0.5,9952.0,135.3,33.8,30.1,36.9,9.6,13.854,8.854,5.0,10.968,1.085,20.0,0.388,0.412,10.41,1.51,5.86,315,1686480,290293925,185989152
Canyon,B,LevelGenerator,123456,"23674,33273,751",-89.2,21:43:54-21:44:09,72.5,72,9.82,9.89,0.6,9969.0,143.1,34.2,32.9,40.4,10.3,13.854,8.753,5.101,11.006,1.177,20.0,0.423,0.42,9.72,1.28,5.61,700,1326210,284901369,186412264
Oasis,A,LevelGenerator,123456,"0,0,139",180.0,21:47:15-21:47:30,72.5,72,9.17,9.23,0.5,9972.0,120.0,32.7,26.8,28.8,7.7,13.846,9.03,4.816,11.119,1.063,20.0,0.39,0.4,8.68,0.59,5.49,134,384570,281378005,227563136
Oasis,B,LevelGenerator,123456,"37920,10283,1093",-49.8,21:47:45-21:48:00,71.8,59,10.0,10.04,0.5,9971.0,131.4,33.6,31.1,33.0,8.9,13.988,8.895,5.093,11.163,1.193,21.31,0.416,0.405,8.78,0.71,5.45,169,571254,287684989,236950376
Road_1,A,LevelGenerator,123456,"13000,39000,139",180.0,21:51:06-21:51:21,72.5,71,9.67,9.72,0.5,9970.0,139.2,34.3,31.1,38.5,8.8,13.845,8.796,5.049,10.985,1.087,20.0,0.386,0.41,9.79,1.05,5.82,438,790276,283904220,254724760
Road_1,B,LevelGenerator,123456,"0,13000,139",0.0,21:51:35-21:51:50,72.5,72,10.5,10.6,0.5,9971.0,141.9,34.1,31.9,38.9,9.7,13.869,8.508,5.361,10.963,1.17,25.76,0.432,0.422,10.7,0.86,6.89,556,857262,222570208,260563268
Mines,A,LevelGenerator,123456,"-1442,4292,348",31.4,21:54:51-21:55:06,71.3,54,6.86,6.93,0.5,9970.0,139.6,35.2,33.3,36.9,9.2,13.859,8.571,5.288,10.915,1.248,20.0,0.422,0.438,10.81,1.84,6.28,655,1624090,288727547,228690332
Mines,B,LevelGenerator,123456,"1842,-640,24387",104.5,21:55:21-21:55:36,72.7,72,10.83,10.88,0.6,9969.0,150.1,35.0,34.4,43.6,10.6,13.854,8.745,5.109,10.974,1.225,20.0,0.404,0.431,11.42,1.86,6.69,833,2130900,287700731,228767792
Fields,A,LevelGenerator,123456,"40727,-30021,6503",58.3,21:58:41-21:58:56,58.6,56,14.57,15.98,0.5,9969.0,136.8,28.9,31.7,39.6,20.4,17.113,11.823,5.29,14.067,1.184,20.0,0.398,0.408,16.68,2.71,10.25,946,2976148,290762427,268392160
Fields,B,LevelGenerator,123456,"40243,-11629,2147",126.5,21:59:10-21:59:25,72.5,72,7.64,8.14,0.5,9968.0,131.7,34.1,29.8,34.2,17.3,13.866,8.615,5.251,10.879,1.151,21.93,0.405,0.403,8.8,0.64,5.42,217,632850,287210219,261085212
