level,duration_s,frames,mean_gt_ms,p50_gt_ms,p99_gt_ms,worst_gt_ms,budget_miss_pct,fps_avg,fps_min,app_gpu_ms,active_gt_ms,wait_ms,cpu_util_pct,gpu_util_pct,cpu_dominant_pct,gpu_dominant_pct,both_saturated_pct,world_tick_ms,actor_ticks_ms,skinned_mesh_ms,blueprint_events_ms,rhi_translate_ms,init_views_ms,base_pass_ms,kills,teleports,diagnosis
Road,328.3,23054,14.23,13.97,21.79,329.09,52.8,70.7,49,9.94,9.98,4.244,78.1,80.6,10.0,22.7,2.1,7.046,3.537,0.598,0.783,5.426,2.116,0.934,7,30,Balanced or transient
Mines,333.0,21751,15.29,14.73,24.08,252.26,69.4,65.5,2,10.82,12.5,2.792,82.6,80.0,17.8,9.3,4.8,9.239,4.642,1.288,0.824,5.962,2.349,1.123,60,0,Balanced or transient
Fields,330.9,21512,15.35,14.39,29.19,253.6,61.1,57.9,14,6.76,10.67,4.675,84.2,82.5,27.4,23.8,20.2,7.163,3.305,0.665,0.726,6.004,2.335,1.441,51,0,Balanced or transient
Purification I,334.3,22607,14.77,14.29,23.63,238.28,60.0,69.5,2,6.43,10.91,3.86,84.2,84.3,6.9,9.9,25.2,7.609,3.367,0.692,0.881,6.072,2.486,1.436,39,0,Balanced or transient
Energy / Electrical,330.8,17538,16.31,15.91,24.58,245.32,84.8,60.8,1,11.11,13.35,2.967,84.7,76.8,50.9,1.4,5.3,9.644,4.275,0.932,0.771,6.579,2.708,1.295,39,25,CPU pressure / mixed
City,329.0,21983,14.95,14.44,23.68,227.2,64.3,67.4,50,10.38,11.39,3.56,81.0,80.4,12.7,11.7,9.3,7.884,3.765,0.694,0.745,6.008,2.608,1.484,27,0,Balanced or transient
NASA,330.0,19960,16.52,16.03,25.02,321.14,80.5,60.8,2,11.33,13.45,3.069,81.6,78.7,25.0,9.8,1.8,9.554,4.601,0.981,0.767,6.63,2.62,1.437,18,0,Balanced or transient
Bugged City,326.7,22595,14.44,14.07,22.97,248.47,55.7,69.7,51,10.26,10.31,4.136,79.1,81.7,8.8,24.3,7.9,7.149,3.27,0.64,0.725,5.624,2.416,1.329,51,16,Balanced or transient
Electrical (Corrupt),327.4,22792,14.35,14.06,22.12,214.29,55.6,70.2,56,9.92,10.7,3.654,78.3,79.7,10.0,22.4,1.8,7.543,3.508,0.663,0.628,5.456,2.041,1.155,73,18,Balanced or transient
Canyon,326.8,22691,14.36,14.0,23.79,204.22,52.7,70.0,40,10.0,9.41,4.952,89.2,79.3,59.9,0.0,7.1,6.127,2.696,0.541,0.743,5.041,2.097,0.859,21,29,CPU pressure / mixed
Oasis,331.1,20589,16.04,15.51,26.34,214.94,75.5,62.5,3,10.78,13.4,2.639,94.7,77.8,93.9,0.0,2.6,9.386,4.119,0.905,0.784,6.277,2.605,1.21,91,0,Sustained CPU-dominant
Purification II,330.4,20261,16.26,15.75,26.97,281.89,77.2,62.3,38,10.72,12.89,3.37,93.7,76.6,95.5,0.0,0.6,8.944,4.098,0.892,0.724,6.814,2.668,1.617,23,28,Sustained CPU-dominant
Moon,326.6,20242,16.11,15.56,26.51,254.7,77.8,63.0,44,10.25,13.05,3.065,82.1,73.4,48.9,4.9,4.9,9.449,4.567,0.764,0.743,5.891,2.276,1.09,10,0,CPU pressure / mixed
